,,,,,,,,,,,median,median,median,mean,mean,mean,min,min,min,max,max,max,count,count,count
year,,,,,,,,,,,2000,2023,All,2000,2023,All,2000,2023,All,2000,2023,All,2000,2023,All
start_watch_time,buy_time,sell_time,rank,pct_change_threshold,watch_days,hold_days,num_stocks_to_buy,loss_limit,fee,num_tickers,,,,,,,,,,,,,,,
Close,Open,Open,nsmallest,-999,4,2,2,0.999,0.002,1254,1.2032,1.1902,1.2032,1.2130642857142857,1.16624,1.200742105263158,1.1439,1.0342,1.0342,1.3071,1.2936,1.3071,14,5,19
Open,Open,Open,nsmallest,-999,3,2,1,0.999,0.002,1254,1.1965,1.1791,1.1963,1.200307142857143,1.2012800000000001,1.2005631578947369,1.1423,0.913,0.913,1.2563,1.6173,1.6173,14,5,19
Close,Open,Open,nsmallest,-999,3,2,1,0.999,0.002,1254,1.1965,1.1791,1.1963,1.200307142857143,1.2012800000000001,1.2005631578947369,1.1423,0.913,0.913,1.2563,1.6173,1.6173,14,5,19
Open,Open,Open,nsmallest,-999,3,1,2,0.999,0.002,1254,1.1997499999999999,1.136,1.1909,1.1979428571428572,1.16262,1.1886473684210526,1.1816,1.1185,1.1185,1.2184,1.2579,1.2579,14,5,19
Close,Open,Open,nsmallest,-999,3,1,2,0.999,0.002,1254,1.1997499999999999,1.136,1.1909,1.1979428571428572,1.16262,1.1886473684210526,1.1816,1.1185,1.1185,1.2184,1.2579,1.2579,14,5,19
Close,Open,Close,nsmallest,-999,2,3,1,0.999,0.002,1254,1.19095,1.1657,1.1907,1.2030428571428573,1.2868600000000001,1.2251,1.1833,0.9572,0.9572,1.2641,1.7478,1.7478,14,5,19
Open,Open,Close,nsmallest,-999,2,3,1,0.999,0.002,1254,1.19095,1.1657,1.1907,1.2030428571428573,1.2868600000000001,1.2251,1.1833,0.9572,0.9572,1.2641,1.7478,1.7478,14,5,19
Close,Open,Open,nsmallest,-999,2,1,1,0.999,0.002,1254,1.1858,1.1777,1.1858,1.2446642857142858,1.19832,1.2324684210526318,1.152,1.0358,1.0358,1.3407,1.4123,1.4123,14,5,19
Open,Open,Open,nsmallest,-999,2,1,1,0.999,0.002,1254,1.1858,1.1777,1.1858,1.2446642857142858,1.19832,1.2324684210526318,1.152,1.0358,1.0358,1.3407,1.4123,1.4123,14,5,19
Open,Open,Close,nsmallest,-999,4,2,1,0.999,0.002,1254,1.1835499999999999,1.1274,1.1833,1.1831714285714285,1.2175,1.1922052631578948,1.1396,1.0246,1.0246,1.218,1.4328,1.4328,14,5,19
Close,Open,Close,nsmallest,-999,4,2,1,0.999,0.002,1254,1.1835499999999999,1.1274,1.1833,1.1831714285714285,1.2175,1.1922052631578948,1.1396,1.0246,1.0246,1.218,1.4328,1.4328,14,5,19
Close,Open,Open,nsmallest,-999,3,3,1,0.999,0.002,1254,1.1646,1.1809,1.1809,1.1666,1.21146,1.1784052631578947,1.1305,0.9955,0.9955,1.2115,1.536,1.536,14,5,19
Open,Open,Open,nsmallest,-999,3,3,1,0.999,0.002,1254,1.1646,1.1809,1.1809,1.1666,1.21146,1.1784052631578947,1.1305,0.9955,0.9955,1.2115,1.536,1.536,14,5,19
Open,Open,Open,nsmallest,-999,2,3,1,0.999,0.002,1254,1.178,1.1517,1.178,1.1984214285714285,1.23688,1.2085421052631578,1.1768,0.9384,0.9384,1.2708,1.5785,1.5785,14,5,19
Close,Open,Open,nsmallest,-999,2,3,1,0.999,0.002,1254,1.178,1.1517,1.178,1.1984214285714285,1.23688,1.2085421052631578,1.1768,0.9384,0.9384,1.2708,1.5785,1.5785,14,5,19
Close,Open,Close,nsmallest,-999,3,3,1,0.999,0.002,1254,1.16495,1.2577,1.1778,1.1650500000000001,1.28192,1.1958052631578946,1.1252,1.0049,1.0049,1.2175,1.6977,1.6977,14,5,19
Open,Open,Close,nsmallest,-999,3,3,1,0.999,0.002,1254,1.16495,1.2577,1.1778,1.1650500000000001,1.28192,1.1958052631578946,1.1252,1.0049,1.0049,1.2175,1.6977,1.6977,14,5,19
Close,Open,Open,nsmallest,-999,3,1,1,0.999,0.002,1254,1.1774,1.0634,1.1771,1.165592857142857,1.13788,1.1582999999999999,1.137,1.0096,1.0096,1.1899,1.3823,1.3823,14,5,19
Open,Open,Open,nsmallest,-999,3,1,1,0.999,0.002,1254,1.1774,1.0634,1.1771,1.165592857142857,1.13788,1.1582999999999999,1.137,1.0096,1.0096,1.1899,1.3823,1.3823,14,5,19
Close,Open,Open,nsmallest,-999,4,3,1,0.999,0.002,1254,1.15545,1.1918,1.1661,1.1433642857142858,1.2557,1.1729263157894736,1.0772,0.9792,0.9792,1.2101,1.6795,1.6795,14,5,19
Open,Open,Open,nsmallest,-999,4,3,1,0.999,0.002,1254,1.15545,1.1918,1.1661,1.1433642857142858,1.2557,1.1729263157894736,1.0772,0.9792,0.9792,1.2101,1.6795,1.6795,14,5,19
Close,Open,Close,nsmallest,-999,4,3,1,0.999,0.002,1254,1.1593499999999999,1.3131,1.162,1.14225,1.27792,1.1779526315789475,1.0714,1.0018,1.0018,1.2135,1.6438,1.6438,14,5,19
Open,Open,Close,nsmallest,-999,4,3,1,0.999,0.002,1254,1.1593499999999999,1.3131,1.162,1.14225,1.27792,1.1779526315789475,1.0714,1.0018,1.0018,1.2135,1.6438,1.6438,14,5,19
Close,Open,Open,nsmallest,-999,4,2,1,0.999,0.002,1254,1.1515,1.0877,1.1515,1.1638857142857142,1.12878,1.1546473684210528,1.1045,0.995,0.995,1.2151,1.2791,1.2791,14,5,19
