date_range,watch_days,hold_days,num_stocks_to_buy,loss_limit,fee_%,num_tickers,nsmallest/nlargest,total_profit,yearly_profit,win_ratio
2000-08-09/2022-12-31,2,6,1,0.997,0.2,208,nsmallest,1259.24336,1.37544,0.99
2000-08-08/2022-12-31,2,2,1,0.997,0.2,208,nsmallest,1229.45261,1.37392,1.0
2000-08-07/2022-12-31,2,2,1,0.997,0.2,208,nsmallest,1229.45261,1.37386,1.0
2000-08-06/2022-12-31,2,2,1,0.997,0.2,208,nsmallest,1229.45261,1.37381,1.0
2000-08-01/2022-12-31,5,2,1,0.997,0.2,208,nsmallest,1228.05673,1.37347,1.0
2000-08-02/2022-12-31,2,2,1,0.997,0.2,208,nsmallest,1224.54461,1.37335,1.0
2000-08-09/2022-12-31,4,5,1,0.999,0.2,208,nsmallest,1213.13697,1.37315,0.99
2000-08-03/2022-12-31,3,2,2,0.999,0.2,208,nsmallest,1217.96332,1.37308,1.0
2000-08-02/2022-12-31,4,3,2,0.998,0.2,208,nsmallest,1206.07701,1.37242,0.99
2000-08-04/2022-12-31,2,5,2,0.999,0.2,208,nsmallest,1203.40913,1.37239,1.0
2000-08-04/2022-12-31,3,2,1,0.998,0.2,208,nsmallest,1185.80707,1.37149,1.0
2000-08-04/2022-12-31,3,2,2,0.999,0.2,208,nsmallest,1159.44702,1.37011,1.0
2000-08-05/2022-12-31,2,3,2,0.998,0.2,208,nsmallest,1105.15874,1.36724,0.99
2000-08-02/2022-12-31,4,3,1,0.998,0.2,208,nsmallest,1098.48621,1.36671,0.99
2000-08-01/2022-12-31,2,4,1,0.999,0.2,208,nsmallest,1072.97208,1.36523,1.0
2000-08-03/2022-12-31,2,3,1,0.997,0.2,208,nsmallest,1060.79268,1.36464,1.0
2000-08-09/2022-12-31,4,3,1,0.999,0.2,208,nsmallest,1051.28023,1.3644,1.0
2000-08-08/2022-12-31,6,2,1,0.998,0.2,208,nsmallest,1047.82069,1.36415,0.99
2000-08-07/2022-12-31,6,2,1,0.998,0.2,208,nsmallest,1048.70099,1.36414,0.99
2000-08-06/2022-12-31,6,2,1,0.998,0.2,208,nsmallest,1048.70099,1.36409,0.99
2000-08-02/2022-12-31,2,3,1,0.999,0.2,208,nsmallest,1050.73067,1.364,1.0
2000-08-05/2022-12-31,3,3,2,0.998,0.2,208,nsmallest,1040.89054,1.36359,1.0
2000-08-09/2022-12-31,2,4,1,0.999,0.2,208,nsmallest,1036.58298,1.36354,1.0
2000-08-09/2022-12-31,2,3,1,0.999,0.2,208,nsmallest,1014.37962,1.36222,0.99
2000-08-07/2022-12-31,3,5,2,0.999,0.2,208,nsmallest,1003.12199,1.36144,1.0
2000-08-01/2022-12-31,4,3,1,0.998,0.2,208,nsmallest,1007.70205,1.36141,1.0
2000-08-06/2022-12-31,3,5,2,0.999,0.2,208,nsmallest,1003.12199,1.36139,1.0
2000-08-08/2022-12-31,3,5,2,0.999,0.2,208,nsmallest,995.56947,1.36103,1.0
2000-08-04/2022-12-31,2,5,1,0.997,0.2,208,nsmallest,976.8548,1.35968,1.0
2000-08-04/2022-12-31,4,2,1,0.998,0.2,208,nsmallest,961.28337,1.3587,0.98
2000-08-07/2022-12-31,4,3,1,0.998,0.2,208,nsmallest,939.08708,1.35744,1.0
2000-08-06/2022-12-31,4,3,1,0.998,0.2,208,nsmallest,939.08708,1.35739,1.0
2000-08-04/2022-12-31,3,7,1,0.997,0.2,208,nsmallest,935.19616,1.35703,0.96
2000-08-08/2022-12-31,4,4,1,0.999,0.2,208,nsmallest,930.90918,1.35696,1.0
2000-08-07/2022-12-31,4,4,1,0.999,0.2,208,nsmallest,930.90918,1.35691,1.0
2000-08-06/2022-12-31,4,4,1,0.999,0.2,208,nsmallest,930.90918,1.35686,1.0
2000-08-08/2022-12-31,2,2,2,0.999,0.2,208,nsmallest,917.40122,1.35607,1.0
2000-08-03/2022-12-31,3,4,2,0.998,0.2,208,nsmallest,920.71186,1.35604,1.0
2000-08-07/2022-12-31,2,2,2,0.999,0.2,208,nsmallest,917.40122,1.35602,1.0
2000-08-06/2022-12-31,2,2,2,0.999,0.2,208,nsmallest,917.40122,1.35597,1.0
2000-08-08/2022-12-31,4,3,1,0.998,0.2,208,nsmallest,912.25533,1.35573,0.99
2000-08-02/2022-12-31,2,2,2,0.999,0.2,208,nsmallest,913.73894,1.35553,1.0
2000-08-01/2022-12-31,3,4,1,0.999,0.2,208,nsmallest,914.02219,1.3555,1.0
2000-08-02/2022-12-31,6,7,1,0.999,0.2,208,nsmallest,913.28089,1.3555,0.94
2000-08-04/2022-12-31,2,5,2,0.998,0.2,208,nsmallest,905.26703,1.35507,1.0
2000-08-02/2022-12-31,4,2,1,0.997,0.2,208,nsmallest,900.9212,1.35467,1.0
2000-08-04/2022-12-31,3,7,1,0.998,0.2,208,nsmallest,897.49683,1.35454,0.97
2000-08-04/2022-12-31,3,7,1,0.999,0.2,208,nsmallest,894.0093,1.35431,0.97
2000-08-04/2022-12-31,7,2,1,0.999,0.2,208,nsmallest,890.26151,1.35405,0.94
2000-08-02/2022-12-31,4,3,2,0.997,0.2,208,nsmallest,878.40972,1.35315,0.99
2000-08-09/2022-12-31,4,5,1,0.998,0.2,208,nsmallest,862.15094,1.35237,0.99
2000-08-08/2022-12-31,5,2,1,0.998,0.2,208,nsmallest,856.15948,1.3519,1.0
2000-08-05/2022-12-31,2,4,2,0.999,0.2,208,nsmallest,851.48438,1.35142,0.98
2000-08-07/2022-12-31,5,2,1,0.998,0.2,208,nsmallest,849.89913,1.3514,0.99
2000-08-06/2022-12-31,5,2,1,0.998,0.2,208,nsmallest,849.89913,1.35135,0.99
2000-08-04/2022-12-31,5,3,1,0.998,0.2,208,nsmallest,824.73839,1.34944,0.99
2000-08-04/2022-12-31,3,3,1,0.999,0.2,208,nsmallest,796.72887,1.34736,0.99
2000-08-02/2022-12-31,4,3,1,0.997,0.2,208,nsmallest,779.86026,1.34598,0.99
2000-08-04/2022-12-31,2,4,1,0.998,0.2,208,nsmallest,750.61088,1.34378,0.99
2000-08-05/2022-12-31,6,3,1,0.999,0.2,208,nsmallest,735.34973,1.3426,0.98
2000-08-05/2022-12-31,2,3,2,0.997,0.2,208,nsmallest,724.39201,1.3417,0.99
2000-08-03/2022-12-31,2,2,2,0.997,0.2,208,nsmallest,722.72068,1.34147,1.0
2000-08-01/2022-12-31,2,4,1,0.998,0.2,208,nsmallest,717.74654,1.34096,1.0
2000-08-09/2022-12-31,2,2,2,0.997,0.2,208,nsmallest,707.52912,1.34048,0.99
2000-08-04/2022-12-31,5,4,1,0.999,0.2,208,nsmallest,704.43124,1.33998,1.0
2000-08-07/2022-12-31,3,2,1,0.999,0.2,208,nsmallest,698.1612,1.33959,1.0
2000-08-06/2022-12-31,3,2,1,0.999,0.2,208,nsmallest,698.1612,1.33954,1.0
2000-08-09/2022-12-31,2,4,1,0.998,0.2,208,nsmallest,693.40467,1.33928,1.0
2000-08-01/2022-12-31,3,2,1,0.999,0.2,208,nsmallest,695.37413,1.33906,1.0
2000-08-08/2022-12-31,2,5,1,0.998,0.2,208,nsmallest,690.27017,1.33896,1.0
2000-08-07/2022-12-31,2,5,1,0.998,0.2,208,nsmallest,690.27017,1.33891,1.0
2000-08-06/2022-12-31,2,5,1,0.998,0.2,208,nsmallest,690.27017,1.33886,1.0
2000-08-05/2022-12-31,2,6,2,0.999,0.2,208,nsmallest,684.62591,1.33832,0.99
2000-08-03/2022-12-31,3,2,2,0.998,0.2,208,nsmallest,684.53875,1.33822,1.0
2000-08-05/2022-12-31,3,3,2,0.997,0.2,208,nsmallest,680.35126,1.33795,1.0
2000-08-08/2022-12-31,3,2,1,0.999,0.2,208,nsmallest,678.25876,1.33791,0.99
2000-08-08/2022-12-31,5,2,1,0.997,0.2,208,nsmallest,677.20369,1.33782,0.99
2000-08-07/2022-12-31,5,2,1,0.997,0.2,208,nsmallest,672.25188,1.33733,0.99
2000-08-04/2022-12-31,5,3,1,0.997,0.2,208,nsmallest,673.90244,1.33733,0.99
2000-08-04/2022-12-31,3,2,2,0.998,0.2,208,nsmallest,673.67915,1.33731,1.0
2000-08-06/2022-12-31,5,2,1,0.997,0.2,208,nsmallest,672.25188,1.33728,0.99
2000-08-04/2022-12-31,2,5,2,0.997,0.2,208,nsmallest,672.83182,1.33724,1.0
2000-08-02/2022-12-31,2,3,1,0.998,0.2,208,nsmallest,671.63737,1.33704,1.0
2000-08-08/2022-12-31,2,5,1,0.999,0.2,208,nsmallest,659.68064,1.33625,0.99
2000-08-07/2022-12-31,2,5,1,0.999,0.2,208,nsmallest,659.68064,1.3362,0.99
2000-08-06/2022-12-31,2,5,1,0.999,0.2,208,nsmallest,659.68064,1.33616,0.99
2000-08-04/2022-12-31,3,2,1,0.997,0.2,208,nsmallest,659.82326,1.33607,1.0
2000-08-07/2022-12-31,3,5,2,0.998,0.2,208,nsmallest,653.75518,1.33566,1.0
2000-08-06/2022-12-31,3,5,2,0.998,0.2,208,nsmallest,653.75518,1.33562,1.0
2000-08-04/2022-12-31,3,3,2,0.999,0.2,208,nsmallest,653.35843,1.33549,1.0
2000-08-07/2022-12-31,6,2,1,0.997,0.2,208,nsmallest,649.54426,1.33528,0.99
2000-08-06/2022-12-31,6,2,1,0.997,0.2,208,nsmallest,649.54426,1.33523,0.99
2000-08-08/2022-12-31,6,2,1,0.997,0.2,208,nsmallest,648.34872,1.33522,0.99
2000-08-09/2022-12-31,2,3,1,0.998,0.2,208,nsmallest,647.75236,1.33521,0.99
2000-08-07/2022-12-31,5,4,1,0.999,0.2,208,nsmallest,645.59652,1.33492,0.99
2000-08-06/2022-12-31,5,4,1,0.999,0.2,208,nsmallest,645.59652,1.33487,0.99
2000-08-09/2022-12-31,4,3,1,0.998,0.2,208,nsmallest,640.74195,1.33456,1.0
2000-08-01/2022-12-31,4,3,1,0.997,0.2,208,nsmallest,644.6959,1.33455,1.0
2000-08-04/2022-12-31,4,2,1,0.997,0.2,208,nsmallest,642.9343,1.33453,0.98
2000-08-08/2022-12-31,5,4,1,0.999,0.2,208,nsmallest,636.07546,1.33408,0.99
2000-08-08/2022-12-31,3,5,2,0.998,0.2,208,nsmallest,633.37984,1.33382,1.0
2000-08-02/2022-12-31,5,2,1,0.999,0.2,208,nsmallest,631.7938,1.33339,0.99
2000-08-02/2022-12-31,6,7,1,0.998,0.2,208,nsmallest,622.95208,1.33256,0.94
2000-08-02/2022-12-31,2,3,2,0.999,0.2,208,nsmallest,611.70009,1.33147,1.0
2000-08-04/2022-12-31,7,2,1,0.998,0.2,208,nsmallest,604.99379,1.33091,0.95
2000-08-09/2022-12-31,2,3,2,0.999,0.2,208,nsmallest,599.26131,1.33058,0.99
2000-08-07/2022-12-31,4,3,1,0.997,0.2,208,nsmallest,594.05687,1.32997,1.0
2000-08-06/2022-12-31,4,3,1,0.997,0.2,208,nsmallest,594.05687,1.32992,1.0
