date_range,year,rank,pct_change_threshold,watch_days,hold_days,num_stocks_to_buy,loss_limit,fee,num_tickers,total_profit,yearly_profit,win_ratio
2002-01-03/2002-12-31,2002,nsmallest,-999,2,3,3,0.999,0.002,1254,328.3161,345.8464,0.46
2010-01-05/2010-12-31,2010,nsmallest,-999,2,2,1,0.999,0.002,1254,317.5243,345.3514,0.31
2002-01-03/2002-12-31,2002,nsmallest,-999,4,2,1,0.999,0.002,1254,326.945,344.3892,0.31
2003-01-06/2003-12-31,2003,nsmallest,-999,2,4,3,0.999,0.002,1254,310.7512,343.4033,0.49
2010-01-04/2010-12-31,2010,nsmallest,-999,2,2,1,0.999,0.002,1254,317.2068,339.4614,0.31
2001-01-02/2001-12-31,2001,nsmallest,-999,2,2,2,0.999,0.002,1254,323.6937,335.5003,0.47
2003-01-01/2003-12-31,2003,nsmallest,-999,4,3,2,0.999,0.002,1254,328.1314,334.7249,0.44
2002-01-07/2002-12-31,2002,nsmallest,-999,4,3,1,0.999,0.002,1254,296.8518,333.1288,0.26
2006-01-06/2006-12-31,2006,nsmallest,-999,3,1,1,0.999,0.002,1254,298.3651,329.4823,0.35
2001-01-01/2001-12-31,2001,nsmallest,-999,3,3,1,0.999,0.002,1254,322.4823,328.9427,0.17
2012-01-04/2012-12-31,2012,nsmallest,-999,3,1,1,0.999,0.002,1254,312.2577,328.7825,0.25
2003-01-07/2003-12-31,2003,nsmallest,-999,2,4,3,0.999,0.002,1254,289.6448,324.8793,0.46
2004-01-07/2004-12-31,2004,nsmallest,-999,4,1,1,0.999,0.002,1254,293.1886,323.6673,0.26
2012-01-03/2012-12-31,2012,nsmallest,-999,3,1,1,0.999,0.002,1254,311.9455,323.2495,0.25
2023-01-02/2023-06-23,2023,nsmallest,-999,4,1,2,0.999,0.002,1254,15.178,322.3772,0.13
2003-01-03/2003-12-31,2003,nsmallest,-999,2,2,1,0.999,0.002,1254,300.2714,316.0508,0.22
2001-01-01/2001-12-31,2001,nsmallest,-999,4,2,1,0.999,0.002,1254,308.0458,314.1676,0.19
2003-01-02/2003-12-31,2003,nsmallest,-999,2,2,1,0.999,0.002,1254,300.572,311.3922,0.22
2011-01-06/2011-12-31,2011,nsmallest,-999,2,1,2,0.999,0.002,1254,281.6063,310.6629,0.48
2002-01-07/2002-12-31,2002,nsmallest,-999,3,4,3,0.999,0.002,1254,271.7256,304.3863,0.66
2006-01-02/2006-12-31,2006,nsmallest,-999,2,4,1,0.999,0.002,1254,286.7394,296.9749,0.21
2003-01-03/2003-12-31,2003,nsmallest,-999,4,2,1,0.999,0.002,1254,279.0089,293.4773,0.31
2003-01-02/2003-12-31,2003,nsmallest,-999,4,2,1,0.999,0.002,1254,279.0089,288.9195,0.31
2001-01-02/2001-12-31,2001,nsmallest,-999,4,3,1,0.999,0.002,1254,277.2287,287.0646,0.31
2003-01-06/2003-12-31,2003,nsmallest,-999,4,2,1,0.999,0.002,1254,256.9182,282.9751,0.39
2003-01-07/2003-12-31,2003,nsmallest,-999,4,2,1,0.999,0.002,1254,238.8066,266.8118,0.37
2005-01-05/2005-12-31,2005,nsmallest,-999,3,1,2,0.999,0.002,1254,242.1836,262.3696,0.5
2003-01-01/2003-12-31,2003,nsmallest,-999,4,1,3,0.999,0.002,1254,257.2385,262.1883,0.51
2023-01-04/2023-06-23,2023,nsmallest,-999,2,3,3,0.999,0.002,1254,13.2443,257.4608,0.3
2001-01-03/2001-12-31,2001,nsmallest,-999,2,4,1,0.999,0.002,1254,242.3186,254.562,0.19
2001-01-01/2001-12-31,2001,nsmallest,-999,4,2,2,0.999,0.002,1254,243.8046,248.4501,0.4
2002-01-03/2002-12-31,2002,nsmallest,-999,2,1,1,0.999,0.002,1254,236.0743,247.9441,0.2
2002-01-07/2002-12-31,2002,nsmallest,-999,3,3,2,0.999,0.002,1254,220.5742,246.0452,0.51
2001-01-03/2001-12-31,2001,nsmallest,-999,2,1,3,0.999,0.002,1254,233.2947,244.9986,0.6
2004-01-07/2004-12-31,2004,nsmallest,-999,3,4,1,0.999,0.002,1254,221.2667,243.0747,0.26
2003-01-01/2003-12-31,2003,nsmallest,-999,4,4,1,0.999,0.002,1254,237.462,241.9647,0.23
2010-01-06/2010-12-31,2010,nsmallest,-999,3,1,1,0.999,0.002,1254,213.7371,234.6615,0.3
2005-01-05/2005-12-31,2005,nsmallest,-999,3,1,1,0.999,0.002,1254,214.1226,231.5535,0.31
2010-01-07/2010-12-31,2010,nsmallest,-999,2,1,1,0.999,0.002,1254,205.9482,229.4113,0.26
2001-01-05/2001-12-31,2001,nsmallest,-999,4,1,3,0.999,0.002,1254,210.6095,227.6995,0.66
2003-01-07/2003-12-31,2003,nsmallest,-999,3,1,2,0.999,0.002,1254,203.7149,226.8735,0.46
2001-01-02/2001-12-31,2001,nsmallest,-999,2,3,3,0.999,0.002,1254,218.2617,225.6708,0.53
2003-01-06/2003-12-31,2003,nsmallest,-999,3,1,2,0.999,0.002,1254,203.7149,223.4712,0.46
2001-01-01/2001-12-31,2001,nsmallest,-999,4,2,3,0.999,0.002,1254,217.7413,221.8041,0.57
2005-01-07/2005-12-31,2005,nsmallest,-999,3,3,2,0.999,0.002,1254,197.6529,219.9877,0.43
2001-01-01/2001-12-31,2001,nsmallest,-999,3,2,3,0.999,0.002,1254,214.6503,218.6446,0.49
2023-01-04/2023-06-23,2023,nsmallest,-999,3,2,1,0.999,0.002,1254,12.2609,218.1318,0.17
2003-01-06/2003-12-31,2003,nsmallest,-999,2,1,3,0.999,0.002,1254,190.5277,208.7618,0.57
2023-01-02/2023-06-23,2023,nsmallest,-999,4,1,3,0.999,0.002,1254,12.3391,207.6787,0.3
2003-01-01/2003-12-31,2003,nsmallest,-999,3,1,2,0.999,0.002,1254,202.6987,206.4301,0.45
2002-01-02/2002-12-31,2002,nsmallest,-999,3,2,2,0.999,0.002,1254,198.8058,205.4355,0.39
2003-01-01/2003-12-31,2003,nsmallest,-999,3,2,2,0.999,0.002,1254,197.1662,200.7766,0.43
2003-01-07/2003-12-31,2003,nsmallest,-999,2,1,3,0.999,0.002,1254,180.0212,199.9848,0.56
2002-01-04/2002-12-31,2002,nsmallest,-999,4,3,1,0.999,0.002,1254,182.1355,193.6448,0.4
2005-01-06/2005-12-31,2005,nsmallest,-999,4,2,2,0.999,0.002,1254,171.7821,187.8831,0.38
2005-01-03/2005-12-31,2005,nsmallest,-999,3,4,2,0.999,0.002,1254,179.2024,187.7475,0.42
2002-01-01/2002-12-31,2002,nsmallest,-999,3,2,2,0.999,0.002,1254,176.3566,179.5171,0.45
2012-01-03/2012-12-31,2012,nsmallest,-999,3,1,2,0.999,0.002,1254,173.7376,179.3814,0.49
2023-01-03/2023-06-23,2023,nsmallest,-999,3,2,3,0.999,0.002,1254,11.3346,178.7222,0.22
2012-01-04/2012-12-31,2012,nsmallest,-999,3,1,2,0.999,0.002,1254,169.98,178.0008,0.48
2001-01-05/2001-12-31,2001,nsmallest,-999,2,1,1,0.999,0.002,1254,163.1128,175.6926,0.3
2011-01-05/2011-12-31,2011,nsmallest,-999,2,2,2,0.999,0.002,1254,161.8334,174.2946,0.49
2001-01-03/2001-12-31,2001,nsmallest,-999,2,4,2,0.999,0.002,1254,165.811,173.5964,0.33
2001-01-02/2001-12-31,2001,nsmallest,-999,2,1,1,0.999,0.002,1254,166.2399,171.5932,0.31
2005-01-07/2005-12-31,2005,nsmallest,-999,3,3,1,0.999,0.002,1254,153.5861,170.0703,0.33
2005-01-04/2005-12-31,2005,nsmallest,-999,3,4,2,0.999,0.002,1254,156.9935,166.6224,0.39
2009-01-07/2009-12-31,2009,nsmallest,-999,2,1,1,0.999,0.002,1254,150.1665,166.2079,0.24
2002-01-07/2002-12-31,2002,nsmallest,-999,4,3,2,0.999,0.002,1254,148.7931,164.6571,0.4
2009-01-02/2009-12-31,2009,nsmallest,-999,2,1,1,0.999,0.002,1254,155.2383,160.1694,0.25
2012-01-04/2012-12-31,2012,nsmallest,-999,3,2,1,0.999,0.002,1254,152.3762,159.4098,0.26
2012-01-03/2012-12-31,2012,nsmallest,-999,3,2,1,0.999,0.002,1254,152.2238,157.04,0.26
2004-01-07/2004-12-31,2004,nsmallest,-999,3,1,2,0.999,0.002,1254,143.5618,156.528,0.51
2002-01-01/2002-12-31,2002,nsmallest,-999,3,2,3,0.999,0.002,1254,153.0289,155.6955,0.57
2004-01-05/2004-12-31,2004,nsmallest,-999,2,2,1,0.999,0.002,1254,143.9842,152.6597,0.38
2004-01-05/2004-12-31,2004,nsmallest,-999,2,1,2,0.999,0.002,1254,142.8717,151.4663,0.48
2004-01-06/2004-12-31,2004,nsmallest,-999,2,1,2,0.999,0.002,1254,140.6724,151.1948,0.47
2004-01-06/2004-12-31,2004,nsmallest,-999,2,2,1,0.999,0.002,1254,140.2064,150.6866,0.37
2004-01-06/2004-12-31,2004,nsmallest,-999,4,3,1,0.999,0.002,1254,140.1712,150.6483,0.22
2004-01-02/2004-12-31,2004,nsmallest,-999,2,2,1,0.999,0.002,1254,146.8787,149.4171,0.3
2004-01-05/2004-12-31,2004,nsmallest,-999,4,3,1,0.999,0.002,1254,140.1712,148.57,0.22
2003-01-02/2003-12-31,2003,nsmallest,-999,4,2,2,0.999,0.002,1254,143.3514,147.8319,0.38
2002-01-03/2002-12-31,2002,nsmallest,-999,4,2,2,0.999,0.002,1254,140.629,147.0145,0.57
2004-01-01/2004-12-31,2004,nsmallest,-999,3,1,2,0.999,0.002,1254,144.7504,145.2445,0.52
2003-01-03/2003-12-31,2003,nsmallest,-999,4,2,2,0.999,0.002,1254,137.9705,144.2105,0.36
2003-01-07/2003-12-31,2003,nsmallest,-999,3,1,3,0.999,0.002,1254,130.2082,143.7019,0.54
2004-01-01/2004-12-31,2004,nsmallest,-999,2,1,2,0.999,0.002,1254,142.1591,142.6426,0.48
2004-01-07/2004-12-31,2004,nsmallest,-999,4,1,2,0.999,0.002,1254,130.2185,141.7386,0.4
2003-01-06/2003-12-31,2003,nsmallest,-999,3,1,3,0.999,0.002,1254,130.2082,141.7271,0.54
2006-01-05/2006-12-31,2006,nsmallest,-999,3,2,2,0.999,0.002,1254,130.9153,140.5605,0.37
2012-01-05/2012-12-31,2012,nsmallest,-999,2,1,1,0.999,0.002,1254,132.3305,140.1645,0.24
2001-01-02/2001-12-31,2001,nsmallest,-999,2,2,3,0.999,0.002,1254,135.0083,139.1763,0.61
2005-01-06/2005-12-31,2005,nsmallest,-999,4,2,1,0.999,0.002,1254,127.8045,139.0657,0.19
2004-01-06/2004-12-31,2004,nsmallest,-999,4,4,2,0.999,0.002,1254,129.2728,138.7714,0.42
2005-01-05/2005-12-31,2005,nsmallest,-999,2,1,3,0.999,0.002,1254,127.8632,137.2363,0.65
2004-01-05/2004-12-31,2004,nsmallest,-999,4,4,2,0.999,0.002,1254,129.2728,136.8881,0.42
2005-01-03/2005-12-31,2005,nsmallest,-999,4,3,1,0.999,0.002,1254,130.5233,136.3586,0.31
