date_range,watch_days,hold_days,num_stocks_to_buy,loss_limit,total_profit,yearly_profit,win_ratio
2000-08-02/2022-12-31,6,6,1,1.0,2.8353,1.0476,0.71
2000-08-02/2022-12-31,10,13,1,1.0,2.82732,1.04747,0.22
2000-08-09/2022-12-31,3,7,1,1.0,2.8245,1.04746,0.9
2000-08-03/2022-12-31,3,40,1,0.999,2.80067,1.04703,0.28
2000-08-05/2022-12-31,17,30,2,1.0,2.7945,1.04694,0.9
2000-08-04/2022-12-31,2,25,2,1.0,2.78174,1.04672,0.91
2000-08-01/2022-12-31,3,13,1,1.0,2.77614,1.04661,0.4
2000-08-05/2022-12-31,25,9,2,0.999,2.75868,1.04634,0.96
2000-08-01/2022-12-31,8,5,1,1.0,2.75591,1.04627,0.42
2000-08-02/2022-12-31,40,11,1,0.999,2.75539,1.04626,0.12
2000-08-02/2022-12-31,3,35,1,0.998,2.73655,1.04594,0.93
2000-08-04/2022-12-31,11,30,2,1.0,2.72522,1.04576,0.56
2000-08-01/2022-12-31,7,5,1,0.999,2.72576,1.04575,0.24
2000-08-04/2022-12-31,40,30,2,0.998,2.7173,1.04562,0.89
2000-08-09/2022-12-31,11,7,2,0.999,2.70637,1.04546,0.21
2000-08-02/2022-12-31,40,11,1,0.998,2.68413,1.04504,0.12
2000-08-09/2022-12-31,25,11,1,1.0,2.67761,1.04497,0.94
2000-08-04/2022-12-31,9,13,1,1.0,2.67894,1.04496,0.15
2000-08-04/2022-12-31,5,8,1,1.0,2.67579,1.04491,0.73
2000-08-07/2022-12-31,2,40,2,0.999,2.66859,1.0448,0.88
2000-08-08/2022-12-31,2,40,2,0.999,2.66859,1.0448,0.88
2000-08-06/2022-12-31,2,40,2,0.999,2.66859,1.04479,0.88
2000-08-02/2022-12-31,2,17,1,1.0,2.6688,1.04477,0.09
2000-08-03/2022-12-31,6,15,1,0.998,2.65068,1.04446,0.95
2000-08-08/2022-12-31,4,17,1,0.999,2.61971,1.04394,0.34
2000-08-07/2022-12-31,4,17,1,0.999,2.61971,1.04393,0.34
2000-08-06/2022-12-31,4,17,1,0.999,2.61971,1.04393,0.34
2000-08-01/2022-12-31,25,3,1,0.998,2.61771,1.04387,0.63
2000-08-04/2022-12-31,3,25,1,0.998,2.59799,1.04353,0.93
2000-08-04/2022-12-31,5,17,2,1.0,2.59222,1.04343,0.15
2000-08-04/2022-12-31,25,25,2,1.0,2.58723,1.04334,0.95
2000-08-02/2022-12-31,20,17,1,0.999,2.58711,1.04332,0.12
2000-08-04/2022-12-31,11,9,1,0.998,2.58413,1.04328,0.95
2000-08-03/2022-12-31,6,25,1,1.0,2.58423,1.04328,0.9
2000-08-09/2022-12-31,11,25,1,0.999,2.58177,1.04327,0.15
2000-08-08/2022-12-31,2,40,1,0.998,2.573,1.0431,0.88
2000-08-07/2022-12-31,2,40,1,0.998,2.573,1.0431,0.88
2000-08-06/2022-12-31,2,40,1,0.998,2.573,1.04309,0.88
2000-08-09/2022-12-31,3,20,1,1.0,2.51414,1.04203,0.6
2000-08-03/2022-12-31,6,17,1,1.0,2.51232,1.04196,0.97
2000-08-05/2022-12-31,17,30,2,0.999,2.50913,1.04192,0.9
2000-08-02/2022-12-31,10,4,2,1.0,2.50853,1.04189,0.49
2000-08-02/2022-12-31,5,4,1,1.0,2.50551,1.04183,0.67
2000-08-04/2022-12-31,10,11,1,0.999,2.50244,1.04179,0.12
2000-08-01/2022-12-31,5,10,2,1.0,2.48558,1.04146,0.76
2000-08-03/2022-12-31,3,40,1,0.998,2.48103,1.04138,0.26
2000-08-05/2022-12-31,3,9,1,1.0,2.47824,1.04134,0.92
2000-08-05/2022-12-31,8,30,1,0.999,2.47356,1.04125,0.97
2000-08-03/2022-12-31,3,35,1,0.998,2.473,1.04123,0.88
2000-08-05/2022-12-31,25,9,2,0.998,2.47152,1.04121,0.95
2000-08-03/2022-12-31,3,9,2,1.0,2.46398,1.04106,0.37
2000-08-03/2022-12-31,3,9,2,0.999,2.46145,1.04101,0.34
2000-08-01/2022-12-31,5,10,1,1.0,2.46014,1.04098,0.88
2000-08-09/2022-12-31,35,3,1,1.0,2.45482,1.04092,0.8
2000-08-02/2022-12-31,6,3,1,1.0,2.44342,1.04067,0.97
2000-08-09/2022-12-31,3,7,1,0.999,2.43546,1.04055,0.9
2000-08-05/2022-12-31,8,9,1,0.999,2.43495,1.04052,0.84
2000-08-01/2022-12-31,17,7,1,0.999,2.43179,1.04044,0.32
2000-08-02/2022-12-31,35,40,1,0.998,2.42884,1.04039,0.95
2000-08-04/2022-12-31,17,40,2,0.998,2.42589,1.04034,0.92
2000-08-04/2022-12-31,4,40,1,1.0,2.40758,1.03999,0.58
2000-08-04/2022-12-31,11,30,2,0.999,2.40511,1.03994,0.52
2000-08-02/2022-12-31,40,11,2,0.998,2.39936,1.03982,0.12
2000-08-05/2022-12-31,5,15,1,1.0,2.39781,1.03981,0.72
2000-08-09/2022-12-31,15,7,1,0.998,2.397,1.03981,0.61
2000-08-03/2022-12-31,11,11,2,0.998,2.39428,1.03973,0.48
2000-08-03/2022-12-31,13,9,1,0.998,2.39073,1.03966,0.5
2000-08-01/2022-12-31,5,40,2,1.0,2.3704,1.03925,0.88
2000-08-04/2022-12-31,5,17,1,0.999,2.36441,1.03915,0.47
2000-08-03/2022-12-31,6,15,2,0.999,2.36419,1.03914,0.95
2000-08-04/2022-12-31,8,13,2,1.0,2.36157,1.0391,0.47
2000-08-04/2022-12-31,11,9,2,1.0,2.35593,1.03899,0.78
2000-08-05/2022-12-31,17,30,2,0.998,2.35276,1.03893,0.9
2000-08-08/2022-12-31,2,40,2,0.998,2.34999,1.03889,0.88
2000-08-06/2022-12-31,2,40,2,0.998,2.34999,1.03888,0.88
2000-08-07/2022-12-31,2,40,2,0.998,2.34999,1.03888,0.88
2000-08-03/2022-12-31,3,40,1,1.0,2.35093,1.03888,0.26
2000-08-08/2022-12-31,4,17,1,1.0,2.34554,1.0388,0.34
2000-08-07/2022-12-31,4,17,1,1.0,2.34554,1.0388,0.34
2000-08-06/2022-12-31,4,17,1,1.0,2.34554,1.03879,0.34
2000-08-02/2022-12-31,6,11,1,0.998,2.3451,1.03876,0.82
2000-08-02/2022-12-31,10,4,1,0.998,2.34279,1.03872,0.35
2000-08-05/2022-12-31,40,11,2,1.0,2.33909,1.03866,0.64
2000-08-04/2022-12-31,25,25,2,0.999,2.33146,1.0385,0.94
2000-08-04/2022-12-31,11,9,2,0.999,2.33114,1.0385,0.83
2000-08-03/2022-12-31,6,8,1,0.999,2.32867,1.03844,0.99
2000-08-03/2022-12-31,10,40,1,0.998,2.3253,1.03837,0.33
2000-08-09/2022-12-31,25,11,1,0.999,2.31834,1.03826,0.88
2000-08-04/2022-12-31,20,6,2,1.0,2.31568,1.03819,0.7
2000-08-05/2022-12-31,25,15,1,1.0,2.31406,1.03816,0.93
2000-08-08/2022-12-31,3,8,1,1.0,2.30833,1.03806,0.49
2000-08-06/2022-12-31,3,8,1,1.0,2.30833,1.03805,0.49
2000-08-07/2022-12-31,3,8,1,1.0,2.30833,1.03805,0.49
2000-08-01/2022-12-31,17,7,1,1.0,2.30453,1.03795,0.26
2000-08-05/2022-12-31,17,40,2,1.0,2.30268,1.03793,0.23
2000-08-03/2022-12-31,20,8,2,1.0,2.30194,1.03791,0.15
2000-08-04/2022-12-31,11,9,2,0.998,2.29683,1.03781,0.82
2000-08-01/2022-12-31,13,8,1,0.999,2.29122,1.03768,0.12
2000-08-03/2022-12-31,6,25,1,0.999,2.28939,1.03765,0.9
2000-08-04/2022-12-31,2,25,2,0.999,2.28658,1.0376,0.78
2000-08-02/2022-12-31,40,11,2,1.0,2.26004,1.03705,0.12
2000-08-09/2022-12-31,35,3,1,0.999,2.25636,1.03701,0.74
2000-08-09/2022-12-31,3,40,2,1.0,2.25123,1.0369,0.32
2000-08-08/2022-12-31,5,6,1,0.999,2.25033,1.03688,0.47
2000-08-07/2022-12-31,5,6,1,0.999,2.25033,1.03688,0.47
2000-08-06/2022-12-31,5,6,1,0.999,2.25033,1.03687,0.47
2000-08-03/2022-12-31,17,30,2,1.0,2.24605,1.03677,0.12
2000-08-02/2022-12-31,20,17,1,0.998,2.23966,1.03663,0.12
2000-08-02/2022-12-31,10,13,1,0.999,2.23711,1.03658,0.2
2000-08-09/2022-12-31,11,25,1,0.998,2.23057,1.03648,0.12
2000-08-01/2022-12-31,8,6,1,1.0,2.22956,1.03642,0.99
2000-08-09/2022-12-31,10,40,1,1.0,2.22389,1.03634,0.95
2000-08-05/2022-12-31,35,3,2,1.0,2.22064,1.03625,0.81
2000-08-03/2022-12-31,15,3,2,1.0,2.21355,1.03609,0.17
2000-08-01/2022-12-31,20,40,1,1.0,2.21059,1.03602,0.84
2000-08-05/2022-12-31,11,8,1,0.998,2.20492,1.03592,0.8
2000-08-09/2022-12-31,13,17,1,1.0,2.20167,1.03587,0.91
2000-08-01/2022-12-31,4,11,1,1.0,2.20003,1.0358,0.99
2000-08-09/2022-12-31,4,9,2,1.0,2.1927,1.03568,0.22
2000-08-01/2022-12-31,17,7,1,0.998,2.19414,1.03568,0.27
2000-08-09/2022-12-31,10,40,2,1.0,2.18666,1.03556,0.95
2000-08-08/2022-12-31,4,6,1,1.0,2.18603,1.03554,0.94
2000-08-06/2022-12-31,4,6,1,1.0,2.18603,1.03553,0.94
2000-08-07/2022-12-31,4,6,1,1.0,2.18603,1.03553,0.94
2000-08-04/2022-12-31,5,6,2,0.998,2.18209,1.03544,0.16
2000-08-04/2022-12-31,25,25,2,0.998,2.18217,1.03544,0.94
2000-08-01/2022-12-31,7,9,1,1.0,2.18227,1.03543,0.13
2000-08-05/2022-12-31,9,8,1,1.0,2.18051,1.03541,0.22
2000-08-03/2022-12-31,13,7,1,1.0,2.17796,1.03535,0.52
2000-08-09/2022-12-31,35,35,2,0.999,2.17615,1.03533,0.83
2000-08-09/2022-12-31,3,7,1,0.998,2.17382,1.03528,0.76
2000-08-05/2022-12-31,4,17,1,1.0,2.17088,1.0352,0.88
2000-08-09/2022-12-31,11,13,1,1.0,2.16879,1.03518,0.63
2000-08-03/2022-12-31,3,9,1,1.0,2.16594,1.03509,0.45
2000-08-04/2022-12-31,30,15,1,0.999,2.16548,1.03508,0.83
2000-08-05/2022-12-31,5,8,1,1.0,2.16465,1.03507,0.93
2000-08-03/2022-12-31,6,7,1,0.998,2.16265,1.03502,0.69
2000-08-04/2022-12-31,11,9,1,0.999,2.15216,1.0348,0.97
2000-08-05/2022-12-31,8,30,1,0.998,2.14566,1.03466,0.97
2000-08-05/2022-12-31,8,11,1,1.0,2.14525,1.03466,1.0
2000-08-09/2022-12-31,11,40,1,0.999,2.13966,1.03455,0.93
2000-08-01/2022-12-31,8,5,1,0.999,2.14095,1.03455,0.36
2000-08-09/2022-12-31,4,9,1,1.0,2.1356,1.03446,0.72
2000-08-03/2022-12-31,3,6,2,1.0,2.1284,1.03428,0.09
2000-08-03/2022-12-31,6,17,1,0.999,2.12796,1.03427,0.99
2000-08-04/2022-12-31,4,40,1,0.999,2.12668,1.03425,0.55
2000-08-05/2022-12-31,40,11,2,0.999,2.1255,1.03423,0.53
2000-08-04/2022-12-31,8,4,1,1.0,2.12407,1.03419,0.39
2000-08-04/2022-12-31,11,30,2,0.998,2.12235,1.03416,0.37
2000-08-09/2022-12-31,35,35,2,1.0,2.11688,1.03406,0.84
2000-08-01/2022-12-31,2,9,1,1.0,2.11757,1.03404,0.51
2000-08-01/2022-12-31,7,40,1,1.0,2.11214,1.03392,0.81
2000-08-03/2022-12-31,17,11,1,1.0,2.10935,1.03387,0.93
2000-08-04/2022-12-31,3,25,2,1.0,2.10858,1.03386,0.9
2000-08-09/2022-12-31,11,7,2,0.998,2.10588,1.03382,0.12
2000-08-01/2022-12-31,11,3,2,1.0,2.1057,1.03378,0.42
2000-08-04/2022-12-31,9,13,1,0.999,2.10497,1.03378,0.14
2000-08-01/2022-12-31,5,40,2,0.999,2.10413,1.03374,0.87
2000-08-09/2022-12-31,11,25,1,1.0,2.10199,1.03373,0.12
2000-08-05/2022-12-31,17,40,2,0.999,2.09881,1.03364,0.16
2000-08-09/2022-12-31,40,11,1,1.0,2.09662,1.03361,0.9
