date_range,year,rank,pct_change_threshold,watch_days,hold_days,num_stocks_to_buy,loss_limit,fee,num_tickers,total_profit,yearly_profit,win_ratio
2022-01-07/2022-12-31,2022,nsmallest,-99.0,4,4,1,0.999,0.002,1254,9565.8416,11516.974,0.1
2022-01-04/2022-12-31,2022,nsmallest,-99.0,3,1,3,0.999,0.002,1254,9980.2948,11123.0707,0.4
2022-01-03/2022-12-31,2022,nsmallest,-99.0,4,2,2,0.999,0.002,1254,9537.9195,10355.7317,0.24
2022-01-04/2022-12-31,2022,nsmallest,-99.0,4,3,2,0.999,0.002,1254,9283.8652,10338.0902,0.2
2022-01-04/2022-12-31,2022,nsmallest,-99.0,3,3,2,0.999,0.002,1254,9212.6491,10257.8571,0.17
2023-01-05/2023-12-23,2023,nsmallest,-99.0,3,2,2,0.999,0.002,1254,7086.8274,9894.4291,0.11
2023-01-05/2023-12-23,2023,nsmallest,-99.0,3,2,3,0.999,0.002,1254,6855.1454,9558.9939,0.19
2023-01-03/2023-06-23,2023,nsmallest,-0.3,2,1,2,0.999,0.002,1254,68.4426,8321.3285,0.26
2023-01-06/2023-12-23,2023,nsmallest,-99.0,4,3,1,0.999,0.002,1254,5724.6311,8134.0273,0.11
2022-01-05/2022-12-31,2022,nsmallest,-99.0,3,4,1,0.999,0.002,1254,6625.8045,7532.9487,0.14
2022-01-04/2022-12-31,2022,nsmallest,-99.0,4,3,3,0.999,0.002,1254,6286.832,6968.6754,0.34
2023-01-06/2023-12-23,2023,nsmallest,-99.0,2,3,2,0.999,0.002,1254,4887.3161,6899.8617,0.15
2023-01-03/2023-06-23,2023,nsmallest,-0.3,2,1,3,0.999,0.002,1254,62.0156,6740.9266,0.36
2022-01-03/2022-12-31,2022,nsmallest,-99.0,4,2,3,0.999,0.002,1254,5467.881,5907.134,0.27
2023-01-04/2023-06-23,2023,nsmallest,-0.3,3,1,3,0.999,0.002,1254,52.9907,5063.9926,0.45
2023-01-06/2023-12-23,2023,nsmallest,-99.0,2,3,3,0.999,0.002,1254,3232.9837,4488.3573,0.19
2022-01-05/2022-12-31,2022,nsmallest,-99.0,3,4,3,0.999,0.002,1254,3809.7444,4296.5239,0.37
2022-01-05/2022-12-31,2022,nsmallest,-99.0,3,4,2,0.999,0.002,1254,3713.8888,4186.8645,0.26
2023-01-06/2023-12-23,2023,nsmallest,-99.0,4,3,2,0.999,0.002,1254,2981.2771,4125.3153,0.17
