,,,,,,,,median,median,median,median,median,median,median,median,median,median,median,median,median,median,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,min,min,min,min,min,min,min,min,min,min,min,min,min,min,max,max,max,max,max,max,max,max,max,max,max,max,max,max,count,count,count,count,count,count,count,count,count,count,count,count,count,count
year,,,,,,,,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020,2022,2023,All,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020,2022,2023,All,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020,2022,2023,All,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020,2022,2023,All,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020,2022,2023,All
rank,pct_change_threshold,watch_days,hold_days,num_stocks_to_buy,loss_limit,fee,num_tickers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nsmallest,-99.0,3,2,1,0.998,0.002,1254,5.0408,12.8789,3.7924,2.3336,2.9414,19.3314,9.7572,1.6591,3.5007,2.1864,4.3592,12.0113,104.8039,4.1133,5.07032,13.498859999999999,4.63956,2.23942,5.09638,32.3399,7.3512,1.74252,4.20814,2.74446,4.16218,15853.129259999998,3708.7702,1511.1532615384615,4.1133,3.7929,2.7909,1.0287,1.1025,2.2056,1.2955,1.4416,2.9828,2.0659,1.3645,3.5832,3.5644,1.0287,5.945,29.787,9.2157,3.1578,15.7017,69.6812,10.7495,2.4815,6.1316,4.132,7.3851,60315.4998,17076.2555,60315.4998,5,5,5,5,5,5,5,5,5,5,5,5,5,65
nsmallest,-99.0,2,2,3,0.999,0.002,1254,3.9258,4.4108,2.6814,1.6213,4.6723,4.6549,9.7221,2.5657,3.8066,2.1565,3.8802,4.7707,9.8671,4.0891,4.76144,5.4739,3.2010199999999998,2.4718600000000004,4.6129,4.71852,9.24346,2.5883,3.81726,2.76042,3.7549599999999996,46999578.22906,1126665649.5667,90281944.24613847,3.8116,3.8217,2.305,1.3566,2.9175,3.9887,6.7405,2.406,3.1825,1.5118,3.0616,2.7959,2.2182,1.3566,8.0814,9.7025,4.2794,4.7927,5.4599,6.0003,11.1591,2.7872,4.9461,4.2142,4.3908,234997874.5471,5633248886.9335,5633248886.9335,5,5,5,5,5,5,5,5,5,5,5,5,5,65
nsmallest,-99.0,2,1,3,0.997,0.002,1254,3.991,4.5376,2.9127,1.9672,4.6418,1.7955,9.2253,2.8067,2.7158,2.4609,5.3816,9.4583,36.1662,3.991,4.88058,4.56292,3.00072,1.9289200000000002,4.48468,6.686840000000001,10.07872,2.8807,2.9112400000000003,2.9139600000000003,4.86922,14134.4476,8009595.604440001,617213.7885030769,3.6737,3.7344,2.7851,1.7473,2.6811,1.7658,5.0773,2.0147,2.6556,2.0458,2.6428,4.0311,8.9712,1.7473,6.7726,5.3063,3.401,1.9925,5.8288,18.3629,15.7833,4.118,3.7015,3.9479,5.7278,70645.1444,40047682.9552,40047682.9552,5,5,5,5,5,5,5,5,5,5,5,5,5,65
nsmallest,-99.0,3,2,1,0.997,0.002,1254,4.9297,12.5212,3.6672,2.2572,2.8411,18.7123,9.4766,1.5942,3.3721,2.1082,4.2207,11.5416,101.0358,3.9758,4.94666,13.11388,4.50882,2.2017800000000003,4.933400000000001,31.41902,7.1653199999999995,1.69912,4.0598399999999994,2.64736,4.87804,15218.70502,3626.1740999999993,1455.8809507692306,3.9855,3.6745,2.697,1.055,1.0612,2.1302,1.2567,1.3932,2.8905,1.9945,1.3134,3.44,3.498,1.055,5.7582,28.9574,9.0244,3.1793,15.2169,67.73,10.4583,2.422,5.9112,3.9758,10.4149,57917.3368,16707.2679,57917.3368,5,5,5,5,5,5,5,5,5,5,5,5,5,65
nsmallest,-99.0,2,2,3,0.998,0.002,1254,3.7949,4.2441,2.5734,1.5536,4.4683,4.4642,9.3928,2.4493,3.6393,2.093,3.7538,4.6071,9.4156,3.9549,4.5929400000000005,5.2553399999999995,3.11038,2.36524,4.4225,4.60876,8.8804,2.49356,3.6562600000000005,2.67626,3.6458199999999996,44731630.20578,1077625547.26792,86335171.01393539,3.6889,3.6637,2.2106,1.2909,2.8428,3.8174,6.4869,2.3223,3.0388,1.6313,2.9203,2.652,2.1536,1.2909,7.7676,9.3021,4.1348,4.583,5.2246,6.1989,10.6889,2.7475,4.7465,4.0171,4.224,223658134.9912,5388050343.5644,5388050343.5644,5,5,5,5,5,5,5,5,5,5,5,5,5,65
nsmallest,-99.0,3,2,2,0.999,0.002,1254,4.5661,9.9491,2.4492,2.2959,2.9762,6.5444,5.2213,1.9515,4.296,2.254,3.9355,7.214,14.0877,3.9355,4.98892,10.47208,3.2154200000000004,2.36946,4.29988,8.26134,5.4573,2.27284,4.36176,2.34676,3.7949800000000002,32400522.072260004,2361.4090399999995,2492533.4863107693,3.8669,5.272,2.3189,1.6367,2.6999,1.885,3.6043,1.7934,2.5483,2.026,1.4429,5.6302,3.302,1.4429,7.4873,15.2682,5.4529,2.9557,9.8348,14.7736,7.4296,3.0027,6.5895,2.872,6.4786,161981541.1371,9894.4291,161981541.1371,5,5,5,5,5,5,5,5,5,5,5,5,5,65
nsmallest,-99.0,2,2,3,0.997,0.002,1254,3.6612,4.0844,2.4697,1.4911,4.273,4.2967,9.0261,2.3381,3.5014,1.9921,3.5793,4.3767,8.9844,3.817,4.4261800000000004,5.07996,2.9886600000000003,2.36888,4.25586,4.41924,8.65712,2.4036999999999997,3.5502200000000004,2.5758199999999998,3.48774,42571295.333960004,1030679619.67328,82557766.09389384,3.5554,3.5122,2.1319,1.2438,2.7187,3.6533,6.2427,2.326,2.9742,1.5453,2.7738,2.5155,2.0907,1.2438,7.4726,9.0789,3.9769,4.8124,5.1126,5.9361,10.2795,2.6292,4.5859,3.8993,4.0863,212856461.419,5153322626.5598,5153322626.5598,5,5,5,5,5,5,5,5,5,5,5,5,5,65
nsmallest,-99.0,3,2,2,0.998,0.002,1254,4.4313,9.659,2.447,2.208,2.8989,6.3294,5.0641,1.9014,4.1545,2.2677,3.8066,6.9313,13.5497,3.8071,4.8687,10.16442,3.15432,2.28906,4.162,8.03064,5.29064,2.19506,4.21132,2.4202000000000004,3.8270600000000004,31106074.311399996,2301.15982,2392955.852664615,3.7426,5.121,2.259,1.5768,2.6079,2.0008,3.4909,1.7284,2.4593,1.993,1.3872,5.4134,3.19,1.3872,7.39,14.8116,5.3043,2.8569,9.5139,14.3007,7.2025,2.9012,6.3515,2.8142,6.31,155510182.4811,9662.2325,155510182.4811,5,5,5,5,5,5,5,5,5,5,5,5,5,65
nsmallest,-99.0,3,2,2,0.997,0.002,1254,4.302,9.3771,2.3635,2.1234,2.8125,6.1213,4.9114,1.8341,4.0176,2.1862,5.0055,6.6673,13.0318,3.7528,4.74816,9.86554,3.05638,2.26276,4.02702,7.77126,5.1357800000000005,2.20806,4.065939999999999,2.39012,3.9578199999999994,30795803.3164,2242.44402,2369084.2499430766,3.6476,4.9742,2.1807,1.5684,2.5202,1.9334,3.3809,1.7824,2.3733,1.9218,1.3337,5.2048,3.0817,1.3337,7.2065,14.3683,5.1735,2.8322,9.2031,13.8425,6.9822,2.9703,6.1219,3.002,6.0994,153959671.6512,9435.27,153959671.6512,5,5,5,5,5,5,5,5,5,5,5,5,5,65
nsmallest,-99.0,2,1,4,0.999,0.002,1254,3.6259,5.1995,2.9765,1.8769,3.7454,1.8107,6.13,2.4213,2.5468,2.3755,5.1085,8.7621,457.946,3.7374,4.516920000000001,4.85772,2.86136,1.95112,3.7040999999999995,4.7659199999999995,7.3011,2.48754,2.9543600000000003,2.6485600000000002,4.61038,10762.66636,5646480.14102,435175.8051123077,3.4033,3.9231,2.4303,1.7739,2.488,1.7763,4.1905,1.9639,2.4961,1.9871,2.6491,3.954,7.912,1.7739,6.1749,5.572,3.3238,2.1342,4.7907,11.4816,11.1523,3.3016,4.5765,3.432,5.2434,53787.7867,28017100.4053,28017100.4053,5,5,5,5,5,5,5,5,5,5,5,5,5,65
