watch_days,num_stocks_to_buy,hold_days,loss_limit,total_profit,yearly_profit
2,1,4,0.995,11.882233370073727,1.1168376359963417
3,2,5,0.995,11.307232761118593,1.1143671086642775
4,2,8,0.998,10.668103672252403,1.1114760713289076
2,1,3,0.995,10.424308753538416,1.1103294828390493
2,2,8,0.995,9.769125593264512,1.107116254914238
5,1,2,0.998,9.52128104241548,1.1058467925286757
4,1,7,0.995,8.809467315127486,1.1020171318394907
4,1,3,0.995,8.342563362159702,1.099341085375285
2,2,6,0.995,8.083182968618969,1.0977919539988388
4,1,8,0.998,7.978816051658307,1.0971551918227633
3,1,3,0.995,7.8531515862256525,1.096377845212826
3,1,2,0.995,7.7210985740660005,1.095548068474441
4,2,7,0.995,6.908373722167359,1.0901214449764642
2,2,4,0.995,6.469389611616911,1.0869308356841108
4,2,8,0.995,6.19293916382637,1.084813619790798
2,2,3,0.995,5.610747274291032,1.0800425780388254
4,2,3,0.995,4.798201148066824,1.0725252315264076
4,1,8,0.995,4.707724003850376,1.0716140720162086
3,2,3,0.995,3.7561282095176525,1.0608645463157256
5,2,2,0.998,3.1816785714340807,1.0530322191301342
5,1,2,0.995,2.514122255962758,1.0420191572961621
3,2,2,0.995,2.1696491992148115,1.0351862402297611
2,1,2,0.998,1.2810797521492538,1.0111203698098663
4,2,2,0.998,0.9656713631055438,0.9984416499372166
5,2,2,0.995,0.8488017768048248,0.9927078949913306
4,1,2,0.998,0.6479019733592829,0.9808094003281256
2,2,2,0.998,0.4724697146458338,0.9670792338500606
4,2,2,0.995,0.1867384326802441,0.9278193048700697
4,1,2,0.995,0.11688338074084827,0.9086126262260091
2,1,2,0.995,0.10969665767247698,0.9060420380906283
2,2,2,0.995,0.048681441743211776,0.8737674365622916
