date_range,year,start_watch_time,buy_time,sell_time,rank,pct_change_threshold,watch_days,hold_days,num_stocks_to_buy,loss_limit,fee,num_tickers,total_profit,yearly_profit,win_ratio
2000-08-07/2022-12-31,2000,Open,Close,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,35725939.7479,2.1738,0.19
2000-08-06/2022-12-31,2000,Open,Close,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,35725939.7479,2.1736,0.19
2000-08-05/2022-12-31,2000,Open,Close,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,35725939.7479,2.1733,0.19
2000-08-11/2022-12-31,2000,Open,Close,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,34572656.5897,2.1714,0.19
2000-08-01/2022-12-31,2000,Close,Close,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,20063970.724,2.1173,0.18
2000-08-11/2022-12-31,2000,Close,Close,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,18618382.0341,2.1122,0.18
2000-08-07/2022-12-31,2000,Close,Close,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,18525513.0985,2.1109,0.18
2000-08-06/2022-12-31,2000,Close,Close,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,18525513.0985,2.1108,0.18
2000-08-05/2022-12-31,2000,Close,Close,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,18525513.0985,2.1106,0.18
2023-01-05/2023-12-23,2023,Open,Open,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,2.0104,2.0639,0.14
2000-08-01/2022-12-31,2000,Open,Close,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,11036457.8087,2.0616,0.19
2000-08-07/2022-12-31,2000,Open,Close,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,9961731.3604,2.0533,0.19
2000-08-06/2022-12-31,2000,Open,Close,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,9961731.3604,2.0531,0.19
2000-08-05/2022-12-31,2000,Open,Close,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,9961731.3604,2.0529,0.19
2000-08-11/2022-12-31,2000,Open,Close,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,9621848.6104,2.0508,0.19
2023-01-02/2023-06-23,2023,Close,Open,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,1.3983,2.0378,0.27
2000-08-01/2022-12-31,2000,Close,Close,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,3844750.0712,1.9669,0.18
2000-08-11/2022-12-31,2000,Close,Close,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,3487746.6012,1.9599,0.18
2000-08-07/2022-12-31,2000,Close,Close,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,3470349.6376,1.9589,0.18
2000-08-06/2022-12-31,2000,Close,Close,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,3470349.6376,1.9587,0.18
2000-08-05/2022-12-31,2000,Close,Close,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,3470349.6376,1.9585,0.18
2000-08-10/2022-12-31,2000,Open,Close,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,3140737.2208,1.9506,0.18
2000-08-04/2022-12-31,2000,Open,Close,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,3125071.1483,1.9492,0.18
2000-08-10/2022-12-31,2000,Open,Close,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,1276289.6335,1.8737,0.18
2000-08-04/2022-12-31,2000,Open,Close,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,1269923.4702,1.8724,0.18
2023-01-05/2023-12-23,2023,Close,Open,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,1.8184,1.8598,0.17
2000-08-09/2022-12-31,2000,Open,Close,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,1063568.7138,1.8584,0.18
2000-08-03/2022-12-31,2000,Open,Close,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,1058263.6076,1.8571,0.18
2000-08-09/2022-12-31,2000,Open,Close,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,645153.4524,1.8174,0.18
2000-08-03/2022-12-31,2000,Open,Close,Open,nsmallest,-9999,2,2,1,0.999,0.002,208,641935.4115,1.8162,0.18
2000-08-08/2022-12-31,2000,Open,Close,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,602933.3992,1.8117,0.19
2000-08-02/2022-12-31,2000,Open,Close,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,599925.953,1.8106,0.19
2000-08-14/2022-12-31,2000,Open,Close,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,584420.3243,1.81,0.19
2000-08-13/2022-12-31,2000,Open,Close,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,584420.3243,1.8099,0.19
2000-08-12/2022-12-31,2000,Open,Close,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,584420.3243,1.8098,0.19
2000-08-10/2022-12-31,2000,Close,Close,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,542047.295,1.8034,0.18
2000-08-04/2022-12-31,2000,Close,Close,Close,nsmallest,-9999,2,2,1,0.999,0.002,208,539343.5501,1.8022,0.18
