date_range,watch_days,hold_days,num_stocks_to_buy,loss_limit,total_profit,yearly_profit,win_ratio
2005-01-06/2005-12-31,4,5,1,0.999,4.32766,4.43946,0.93
2002-01-02/2002-12-31,4,7,1,0.999,4.3927,4.43318,0.91
2022-01-07/2022-12-31,6,3,1,0.998,4.29636,4.42509,0.81
2001-01-01/2001-12-31,4,7,1,0.997,4.4012,4.42365,0.77
2002-01-01/2002-12-31,2,4,1,0.999,4.39177,4.41415,0.71
2002-01-01/2002-12-31,4,4,2,0.999,4.38973,4.41208,1.0
2001-01-03/2001-12-31,2,6,1,0.998,4.3466,4.40432,0.77
2001-01-02/2001-12-31,2,6,1,0.998,4.3466,4.38637,0.77
2002-01-03/2002-12-31,4,7,1,0.998,4.32721,4.38449,0.91
2002-01-03/2002-12-31,3,5,1,0.997,4.32355,4.38075,0.9
2002-01-02/2002-12-31,3,5,1,0.997,4.33656,4.37617,0.9
2002-01-02/2002-12-31,4,7,1,0.998,4.32721,4.36668,0.91
2002-01-01/2002-12-31,5,3,1,0.999,4.31523,4.33695,0.9
2005-01-06/2005-12-31,4,5,1,0.998,4.22912,4.33663,0.93
2001-01-04/2001-12-31,4,5,1,0.999,4.25473,4.32789,0.78
2022-01-07/2022-12-31,6,3,1,0.997,4.20264,4.32663,0.78
2002-01-01/2002-12-31,4,4,2,0.998,4.29249,4.31402,1.0
2005-01-06/2005-12-31,6,7,1,0.999,4.19939,4.30561,1.0
2020-01-06/2020-12-31,2,2,1,0.999,4.21502,4.30439,0.73
2001-01-04/2001-12-31,4,5,1,0.998,4.19549,4.26692,0.78
2002-01-01/2002-12-31,2,4,1,0.998,4.2405,4.26159,0.64
2020-01-07/2020-12-31,2,2,1,0.999,4.15358,4.25783,0.67
2002-01-04/2002-12-31,6,4,1,0.999,4.17996,4.25094,0.92
2002-01-01/2002-12-31,5,3,1,0.998,4.22965,4.25065,0.9
2005-01-06/2005-12-31,6,7,1,0.998,4.14092,4.24463,0.94
2005-01-06/2005-12-31,4,5,1,0.997,4.13272,4.23608,0.93
2001-01-04/2001-12-31,4,5,1,0.997,4.13702,4.20676,0.78
2002-01-04/2002-12-31,6,4,1,0.998,4.11763,4.18682,0.92
2005-01-06/2005-12-31,6,7,1,0.997,4.08321,4.18445,0.94
2002-01-01/2002-12-31,5,3,1,0.997,4.14569,4.16599,0.9
2016-01-05/2016-12-31,5,4,1,0.999,4.08378,4.15199,0.89
2020-01-07/2020-12-31,2,6,1,0.999,4.05064,4.1505,0.94
2005-01-06/2005-12-31,3,2,1,0.998,4.04101,4.14046,0.94
2016-01-04/2016-12-31,5,4,1,0.999,4.08378,4.1357,0.89
2020-01-06/2020-12-31,2,6,1,0.999,4.05064,4.13412,0.94
2002-01-04/2002-12-31,6,4,1,0.997,4.05618,4.1236,0.92
2002-01-01/2002-12-31,2,4,1,0.997,4.09429,4.11415,0.6
2020-01-06/2020-12-31,2,2,1,0.998,4.02928,4.112,0.68
2005-01-04/2005-12-31,4,10,1,0.997,4.04468,4.11177,0.76
2005-01-04/2005-12-31,5,6,1,0.997,4.04043,4.1074,0.95
2005-01-03/2005-12-31,4,10,1,0.997,4.04468,4.09574,0.76
2005-01-03/2005-12-31,5,6,1,0.997,4.04043,4.09141,0.95
2016-01-05/2016-12-31,5,4,1,0.998,4.00681,4.07282,0.89
2020-01-07/2020-12-31,2,2,1,0.998,3.96657,4.06287,0.63
2016-01-04/2016-12-31,5,4,1,0.998,4.00681,4.05705,0.89
2005-01-06/2005-12-31,3,2,1,0.999,3.96032,4.05636,0.94
2022-01-06/2022-12-31,7,2,1,0.999,3.95217,4.04786,0.41
2020-01-07/2020-12-31,2,6,1,0.998,3.94653,4.04199,0.94
2017-01-05/2017-12-31,5,2,1,0.999,3.95307,4.03311,0.94
2020-01-06/2020-12-31,2,6,1,0.998,3.94653,4.02633,0.94
2002-01-01/2002-12-31,2,7,1,0.999,3.99975,4.01883,0.89
2005-01-06/2005-12-31,3,2,1,0.997,3.90168,3.99526,0.94
2016-01-05/2016-12-31,5,4,1,0.997,3.93121,3.99508,0.89
2022-01-06/2022-12-31,7,2,1,0.998,3.8932,3.98643,0.41
2016-01-04/2016-12-31,5,4,1,0.997,3.93121,3.97982,0.89
2020-01-06/2020-12-31,2,6,1,0.997,3.88721,3.96495,0.97
2005-01-06/2005-12-31,2,5,1,0.997,3.8682,3.96039,0.77
2005-01-06/2005-12-31,7,10,1,0.999,3.85013,3.94156,0.79
2020-01-07/2020-12-31,2,6,1,0.997,3.84499,3.93621,0.94
2017-01-05/2017-12-31,5,2,1,0.998,3.85532,3.93195,0.94
2002-01-01/2002-12-31,2,7,1,0.998,3.91258,3.93096,0.89
2001-01-01/2001-12-31,7,6,1,0.999,3.90176,3.92004,1.0
2005-01-04/2005-12-31,4,3,1,0.997,3.8515,3.91314,0.78
2005-01-03/2005-12-31,4,3,1,0.997,3.8515,3.89841,0.78
2022-01-06/2022-12-31,7,2,1,0.997,3.80828,3.89797,0.41
2005-01-05/2005-12-31,7,6,1,0.999,3.82028,3.89569,1.0
2005-01-06/2005-12-31,7,10,1,0.998,3.80413,3.89366,0.79
2001-01-01/2001-12-31,7,6,1,0.998,3.85515,3.87305,1.0
2020-01-06/2020-12-31,2,5,2,0.997,3.79693,3.87153,0.89
2005-01-05/2005-12-31,4,7,1,0.997,3.79642,3.871,0.77
2001-01-03/2001-12-31,7,10,1,0.999,3.81799,3.86419,0.79
2019-01-04/2019-12-31,2,7,2,0.998,3.79475,3.8548,0.96
2001-01-02/2001-12-31,7,10,1,0.999,3.81799,3.84983,0.79
2005-01-06/2005-12-31,7,10,1,0.997,3.75864,3.84629,0.79
