date_range,year,start_watch_time,buy_time,sell_time,rank,pct_change_threshold,watch_days,hold_days,num_stocks_to_buy,loss_limit,fee,num_tickers,total_profit,yearly_profit,win_ratio
2011-01-03/2011-12-31,2011,Close,Open,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,14341708.9052,16628464.7662,0.48
2006-01-06/2006-12-31,2006,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,6604657.8838,8681210.9834,0.26
2006-01-03/2006-12-31,2006,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,6571713.6921,7566361.2965,0.26
2005-01-05/2005-12-31,2005,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,5949139.0023,7468755.4393,0.29
2000-08-09/2022-12-31,2000,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,1.2006083405491704e+150,5036201.6509,0.3
2000-08-04/2022-12-31,2000,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,1.1958154928823034e+150,4988051.6671,0.3
2000-08-01/2022-12-31,2000,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,1.1898507365615188e+150,4958835.5174,0.3
2011-01-07/2011-12-31,2011,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,2982473.063,4033627.1111,0.4
2011-01-04/2011-12-31,2011,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,2970566.9829,3540325.0421,0.39
2000-08-07/2022-12-31,2000,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,1.8236517770258846e+140,1828556.6773,0.31
2000-08-06/2022-12-31,2000,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,1.8236517770258846e+140,1825337.0723,0.31
2000-08-05/2022-12-31,2000,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,1.8236517770258846e+140,1822123.9209,0.31
2000-08-02/2022-12-31,2000,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,1.8461482873912685e+140,1813514.8562,0.31
2011-01-05/2011-12-31,2011,Close,Open,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,1446613.5952,1779061.7271,0.46
2000-08-10/2022-12-31,2000,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,4.674957992699255e+139,1729827.225,0.31
2006-01-05/2006-12-31,2006,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,1264305.2133,1551805.4377,0.16
2006-01-02/2006-12-31,2006,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,1257998.8286,1372423.5827,0.16
2023-01-05/2023-12-23,2023,Close,Close,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,421875.3023,686953.8107,0.49
2006-01-06/2006-12-31,2006,Close,Open,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,492007.3016,618109.9862,0.25
2000-08-08/2022-12-31,2000,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,5.657038443480802e+128,561057.954,0.3
2000-08-03/2022-12-31,2000,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,5.628821000226781e+128,556415.0863,0.3
2006-01-03/2006-12-31,2006,Close,Open,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,489553.1574,550658.4566,0.24
2005-01-05/2005-12-31,2005,Close,Open,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,328575.8005,395445.3837,0.32
2023-01-05/2023-12-23,2023,Close,Close,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,187451.306,296053.8943,0.21
2010-01-07/2010-12-31,2010,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,180822.0211,231056.3992,0.35
2010-01-04/2010-12-31,2010,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,180822.0211,208518.296,0.35
2011-01-05/2011-12-31,2011,Close,Close,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,169062.0147,201506.1838,0.44
2000-08-07/2022-12-31,2000,Close,Open,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,3.370643397730153e+113,117104.3883,0.29
2000-08-06/2022-12-31,2000,Close,Open,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,3.370643397730153e+113,116937.4695,0.29
2000-08-05/2022-12-31,2000,Close,Open,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,3.370643397730153e+113,116770.8292,0.29
2000-08-02/2022-12-31,2000,Close,Open,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,3.439741453615399e+113,116377.9001,0.29
2000-08-10/2022-12-31,2000,Close,Open,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,8.516504989203059e+112,110598.3978,0.29
2000-08-09/2022-12-31,2000,Close,Open,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,5.65378824397457e+110,88282.0893,0.28
2000-08-04/2022-12-31,2000,Close,Open,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,5.631218231024571e+110,87654.3353,0.28
2000-08-01/2022-12-31,2000,Close,Open,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,5.4134973769114914e+110,87136.1201,0.28
2011-01-07/2011-12-31,2011,Close,Open,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,41160.3359,51042.1023,0.36
2023-01-03/2023-06-23,2023,Close,Close,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,153.2777,46569.9981,0.51
2011-01-04/2011-12-31,2011,Close,Open,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,40996.0232,46456.54,0.36
2012-01-02/2012-12-31,2012,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,30545.556,31648.2458,0.39
2010-01-07/2010-12-31,2010,Close,Close,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,24563.3958,30143.7916,0.36
2005-01-04/2005-12-31,2005,Close,Open,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,25300.6041,28508.1021,0.29
2010-01-04/2010-12-31,2010,Close,Close,Close,nsmallest,-inf,2,1,1,0.999,0.002,1254,24440.873,27528.1717,0.36
2000-08-08/2022-12-31,2000,Close,Open,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,1.0871139316482735e+97,21519.0897,0.28
2000-08-03/2022-12-31,2000,Close,Open,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,1.0816913813185521e+97,21383.5683,0.28
2012-01-04/2012-12-31,2012,Close,Open,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,17352.9388,18942.3434,0.32
2005-01-04/2005-12-31,2005,Close,Open,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,16173.5228,18128.1825,0.32
2006-01-05/2006-12-31,2006,Close,Open,Open,nsmallest,-inf,2,1,1,0.999,0.002,1254,15332.4788,17646.2551,0.18
