date_range,watch_days,hold_days,num_stocks_to_buy,loss_limit,total_profit,yearly_profit
2020-01-07/2020-12-31,3,3,2,0.995,2.7892463075606813,2.8395044746464633
2020-01-07/2020-12-31,3,7,2,0.995,2.7835573774017632,2.8336123170682503
2020-01-06/2020-12-31,3,3,2,0.995,2.7892463075606813,2.8312847536730223
2020-01-06/2020-12-31,3,7,2,0.995,2.7835573774017632,2.8254259553820513
2020-01-07/2020-12-31,3,6,2,0.998,2.771763473670116,2.8213977643532666
2020-01-07/2020-12-31,3,6,1,0.995,2.769569024363608,2.8191251461262046
2020-01-02/2020-12-31,2,7,1,0.998,2.806782730256796,2.8167478679807245
2017-01-04/2017-12-31,5,6,1,0.995,2.780440003307425,2.814116104980365
2020-01-06/2020-12-31,3,6,2,0.998,2.771763473670116,2.8132804492216823
2020-01-06/2020-12-31,3,6,1,0.995,2.769569024363608,2.811020661578376
2020-01-07/2020-12-31,5,5,2,0.995,2.7165394996947954,2.764216235997144
2020-01-06/2020-12-31,5,5,2,0.995,2.7165394996947954,2.7564202043806394
2003-01-01/2003-12-31,5,7,1,0.998,2.7388586894154208,2.7483514526496196
2003-01-07/2003-12-31,3,5,2,0.995,2.6847168988521886,2.7389511719545574
2021-01-07/2021-12-31,3,5,1,0.998,2.680921061817035,2.735000287489475
2003-01-07/2003-12-31,3,7,2,0.998,2.6649999534239606,2.7184300901857394
2020-01-02/2020-12-31,2,4,1,0.998,2.7009043240323565,2.710135663124771
2023-01-03/2023-06-23,2,3,1,0.995,1.594555602240339,2.7091385743825844
2023-01-04/2023-06-23,4,7,1,0.995,1.5897342385855928,2.7073952924003537
2020-01-02/2020-12-31,3,2,2,0.998,2.689656862555573,2.69881108383905
2020-01-07/2020-12-31,5,5,2,0.998,2.6503050038277784,2.6956606146422235
2020-01-06/2020-12-31,5,5,2,0.998,2.6503050038277784,2.6882454604571167
2021-01-06/2021-12-31,5,2,1,0.998,2.639125886412296,2.6840926572024832
2003-01-06/2003-12-31,3,7,2,0.998,2.6279442681868885,2.6725229653052796
2009-01-02/2009-12-31,4,7,1,0.998,2.6311174548167755,2.6469419123202225
2020-01-02/2020-12-31,2,7,1,0.995,2.634827116340534,2.643607740844774
2021-01-04/2021-12-31,4,5,2,0.998,2.610805104760383,2.6404690275717675
2021-01-06/2021-12-31,5,3,1,0.998,2.580699282439488,2.623647779641159
2021-01-06/2021-12-31,2,5,1,0.998,2.5795842819422994,2.6224944928081944
2020-01-07/2020-12-31,3,6,2,0.995,2.578940977297721,2.6218291026345697
2021-01-04/2021-12-31,3,2,2,0.998,2.5917282763756013,2.620949149758877
2003-01-01/2003-12-31,5,7,1,0.995,2.6100585928980014,2.6186717392659062
2020-01-06/2020-12-31,3,6,2,0.995,2.578940977297722,2.6148187466708257
2003-01-06/2003-12-31,3,5,2,0.998,2.5720624268611725,2.6147145829210006
2020-01-07/2020-12-31,3,7,2,0.998,2.559884529345962,2.602119734431619
2020-01-06/2020-12-31,3,7,2,0.998,2.559884529345962,2.5952164748767292
2021-01-04/2021-12-31,3,2,2,0.995,2.562001369293602,2.590535226777762
2021-01-04/2021-12-31,3,7,2,0.998,2.5566523989085734,2.5850630764468043
2023-01-04/2023-06-23,2,3,1,0.995,1.5544256775924534,2.5798454956110812
2003-01-07/2003-12-31,3,7,2,0.995,2.526363119340987,2.5742271965053503
2020-01-02/2020-12-31,3,5,2,0.998,2.5632258385896622,2.571524541561168
2021-01-06/2021-12-31,5,2,1,0.995,2.517914059086131,2.558720287973439
2020-01-03/2020-12-31,2,7,1,0.998,2.5409881176019544,2.5557182904127402
2021-01-07/2021-12-31,3,5,1,0.995,2.4940489535457284,2.540638375475007
2020-01-03/2020-12-31,3,2,2,0.998,2.525665358210451,2.540211468625765
2021-01-06/2021-12-31,5,3,1,0.995,2.4930098491410306,2.5329740997473404
2009-01-02/2009-12-31,4,7,1,0.995,2.5149440490871293,2.529361717884882
2003-01-06/2003-12-31,3,7,2,0.995,2.4837464372980285,2.5233986443168694
2020-01-01/2020-12-31,5,8,2,0.995,2.5106467160286132,2.512230195770575
2020-01-02/2020-12-31,2,4,1,0.995,2.4929874002705024,2.5008200724046117
2003-01-06/2003-12-31,3,5,2,0.995,2.458647024108047,2.497456873355774
2009-01-02/2009-12-31,4,5,1,0.998,2.4829531614985,2.4969892872452006
2021-01-06/2021-12-31,2,5,1,0.995,2.4508877250568775,2.4894380963393363
2023-01-03/2023-06-23,2,5,2,0.998,1.5304081776057834,2.481657599352361
2021-01-07/2021-12-31,2,6,1,0.995,2.4259147382779678,2.4698455741796237
2023-01-03/2023-06-23,4,7,1,0.998,1.5246453848230428,2.461740228199352
2017-01-04/2017-12-31,3,8,1,0.995,2.4310500055205684,2.4566075769497733
2017-01-03/2017-12-31,3,8,1,0.995,2.4310500055205684,2.4505158244628005
2023-01-02/2023-06-23,2,6,1,0.998,1.5248870325204533,2.4497045992448774
2019-01-07/2019-12-31,5,4,1,0.998,2.4056127526331603,2.44875914329421
2020-01-03/2020-12-31,3,5,2,0.998,2.4330566872908324,2.446502890063402
2009-01-01/2009-12-31,2,2,1,0.998,2.4338860929444897,2.4413319211999376
2023-01-04/2023-06-23,2,5,2,0.998,1.5146031853881792,2.4399302770859204
2020-01-02/2020-12-31,3,2,2,0.995,2.414812805271297,2.4221348435507144
2020-01-07/2020-12-31,5,2,2,0.998,2.381959106532983,2.4182240048299257
2020-01-06/2020-12-31,5,2,2,0.998,2.381959106532983,2.412299683216641
2020-01-01/2020-12-31,2,5,1,0.998,2.4078361664325225,2.4092858041645933
2021-01-06/2021-12-31,4,2,1,0.998,2.356778304469287,2.3922171725778667
2020-01-03/2020-12-31,2,7,1,0.995,2.3781459385971817,2.3909503574185536
2023-01-04/2023-06-23,5,8,1,0.998,1.4966585837186475,2.378243723740004
2021-01-06/2021-12-31,4,2,1,0.995,2.3361349842570203,2.3709002755416413
2023-01-03/2023-06-23,5,8,1,0.998,1.4966585837186475,2.3662249520260237
2020-01-02/2020-12-31,3,5,2,0.995,2.356417286284832,2.3633635795883343
2009-01-02/2009-12-31,3,3,1,0.998,2.341990790262997,2.354376965736469
2009-01-02/2009-12-31,4,5,1,0.995,2.337864391907083,2.350203054627631
2023-01-02/2023-06-23,3,6,1,0.998,1.4940113435587519,2.3455711183949206
2023-01-06/2023-12-23,5,8,1,0.998,2.268448912172051,2.3451519774004694
2021-01-07/2021-12-31,2,4,2,0.998,2.3041424513159288,2.343422770482823
2021-01-05/2021-12-31,3,2,2,0.998,2.310030889240878,2.3384093918153623
2021-01-04/2021-12-31,4,4,2,0.998,2.306731589164423,2.3295421571212107
2023-01-03/2023-06-23,4,7,1,0.995,1.4838899674913333,2.323314559952236
2020-01-01/2020-12-31,5,8,2,0.998,2.3176584102461764,2.318993126518082
2020-01-06/2020-12-31,5,2,2,0.995,2.2869535558445286,2.3147096089944843
